tag,citation,expmm,expyy,make,state,location,violCode,Description,violFine,violDate,balance,penaltyDate,openFine,openPenalty,noticeDate,ImportDate
2EDB12,97550636,03,13,HYUN,MD,1700 S HANOVER ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:01:00 PM,$52.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
XRU2536,97457600,03,12,VOLV,VA,1300 COVINGTON ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:01:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
JRM7726,97457592,04,13,MERC,VA,1300 COVINGTON ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:00:00 PM,$32.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
6EWF18,97092423,02,13,MINI,MD,500 E RANDALL ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 08:59:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
2AFZ26,97727549,12,12,CADI,MD,900 S WOLFE ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 08:57:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
4FBR25,97550628,07,13,KIA,MD,U/B W HEATH ST,11,Residential Parking Permit Only,$52.00,07/04/2012 08:56:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
T881571,00107896,08,12,UNK,MD,E/S,8,No Stopping/Standing Tow Away Zone,$52.00,07/04/2012 08:55:00 PM,$52.00,,$52.00,$0.00,,07/18/2012 11:02:00 AM +0000
3AS3123,97727531,06,14,INFI,MD,900 FELL ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 08:53:00 PM,$32.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
3BBS93,97457584,11,13,MAZD,MD,1200 WILLIAM ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 08:53:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
37572CD,97550610,09,12,AUDI,MD,1600 S HANOVER ST,11,Residential Parking Permit Only,$52.00,07/04/2012 08:51:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
1AP8067,97727523,01,14,TOYT,MD,900 FELL ST,11,Residential Parking Permit Only,$52.00,07/04/2012 08:51:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
149M747,97457576,06,12,CHRY,MD,1200 WILLIAM ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 08:51:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
9DDV90,97092415,07,13,MAZD,MD,1500 WILLIAM ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 08:50:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
2AH0296,58065400,09,13,AUDI,MD,EDMONSON EB @ ATHOL,30,Red Light Violation,$75.00,07/04/2012 08:49:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
3AP3879,97727515,02,14,SUBA,MD,900 FELL ST,11,Residential Parking Permit Only,$52.00,07/04/2012 08:49:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
